t_us,raw
5147084,6648
5152088,6649
5157088,6647
5162092,6648
5167092,6648
5172092,6648
5177092,6648
5182096,6648
5187096,6648
5192100,6649
5197100,6649
5202100,6648
5207100,6649
5212100,6648
5217100,6648
5222100,6647
5227100,6649
5232100,6648
5237100,6648
5242100,6648
5247100,6648
5252104,6649
5257108,6648
5262108,6648
5267108,6648
5272108,6649
5277108,6648
5282108,6648
5287112,6648
5292112,6648
5297112,6648
5302112,6647
5307112,6648
5312112,6648
5317112,6649
5322112,6648
5327112,6649
5332112,6649
5337112,6648
5342112,6648
5347112,6648
5352112,6649
5357112,6647
5362112,6648
5367116,6648
5372120,6649
5377120,6649
5382120,6647
5387120,6648
5392120,6648
5397120,6648
5402120,6648
5407120,6648
5412124,6649
5417128,6648
5422128,6648
5427128,6648
5432132,6649
5437132,6648
5442132,6647
5447132,6648
5452132,6649
5457132,6649
5462132,6647
5467136,6647
5472136,6650
5477136,6647
5482136,6647
5487136,6649
5492136,6648
5497136,6648
5502136,6649
5507136,6648
5512136,6648
5517136,6648
5522136,6647
5527136,6648
5532136,6649
5537136,6649
5542136,6648
5547136,6648
5552136,6649
5557136,6648
5562136,6648
5567136,6648
5572136,6649
5577136,6648
5582136,6649
5587136,6648
5592140,6649
5597140,6648
5602140,6647
5607140,6649
5612140,6648
5617144,6650
5622148,6648
5627148,6648
5632148,6648
5637148,6648
5642148,6647
5647148,6648
5652148,6649
5657148,6648
5662148,6648
5667148,6648
5672148,6648
5677152,6648
5682152,6648
5687152,6648
5692152,6648
5697152,6648
5702152,6649
5707152,6649
5712152,6649
5717152,6648
5722152,6649
5727152,6648
5732152,6648
5737152,6648
5742156,6648
5747156,6648
5752156,6648
5757156,6647
5762156,6649
5767156,6648
5772156,6648
5777156,6649
5782156,6648
5787160,6648
5792160,6648
5797160,6648
5802160,6648
5807160,6648
5812160,6648
5817160,6648
5822160,6648
5827164,6649
5832164,6649
5837168,6648
5842168,6648
5847168,6647
5852168,6648
5857168,6648
5862168,6648
5867168,6647
5872168,6649
5877168,6648
5882168,6647
5887168,6648
5892168,6648
5897168,6648
5902168,6649
5907168,6649
5912168,6648
5917168,6649
5922168,6647
5927168,6648
5932168,6649
5937172,6648
5942172,6648
5947172,6648
5952172,6648
5957176,6648
5962176,6649
5967176,6648
5972176,6649
5977176,6648
5982176,6647
5987180,6647
5992184,6649
5997184,6648
6002188,6647
6007188,6647
6012188,6648
6017188,6648
6022192,6649
6027192,6648
6032192,6649
6037192,6648
6042192,6647
6047192,6649
6052192,6648
6057192,6647
6062196,6648
6067196,6647
6072196,6647
6077196,6648
6082196,6647
6087196,6648
6092200,6649
6097200,6648
6102200,6648
6107200,6647
6112200,6648
6117200,6648
6122200,6648
6127200,6648
6132200,6648
6137204,6648
6142204,6648
6147204,6648
6152204,6648
6157204,6648
6162204,6647
6167204,6647
6172204,6648
6177204,6647
6182204,6648
6187204,6648
6192204,6647
6197204,6648
6202208,6647
6207208,6648
6212208,6648
6217212,6647
6222212,6648
6227212,6648
6232216,6648
6237216,6648
6242216,6648
6247216,6647
6252216,6647
6257216,6648
6262220,6648
6267220,6647
6272220,6647
6277224,6648
6282228,6648
6287228,6648
6292228,6648
6297232,6648
6302232,6647
6307236,6648
6312236,6648
6317236,6648
6322236,6648
6327236,6648
6332236,6648
6337236,6648
6342236,6649
6347236,6648
6352240,6647
6357244,6647
6362244,6648
6367248,6648
6372248,6648
6377248,6648
6382248,6647
6387248,6649
6392248,6648
6397248,6648
6402248,6647
6407248,6648
6412248,6649
6417248,6648
6422252,6648
6427252,6648
6432252,6648
6437252,6648
6442252,6648
6447256,6648
6452256,6649
6457256,6647
6462256,6648
6467256,6648
6472256,6648
6477256,6648
6482260,6647
6487260,6648
6492264,6649
6497264,6648
6502264,6648
6507264,6648
6512264,6647
6517264,6648
6522264,6648
6527264,6648
6532264,6647
6537264,6648
6542264,6647
6547264,6648
6552264,6649
6557264,6648
6562264,6647
6567264,6649
6572264,6649
6577264,6648
6582264,6648
6587264,6649
6592264,6648
6597264,6648
6602264,6648
6607264,6649
6612264,6648
6617264,6647
6622264,6647
6627264,6647
6632264,6648
6637264,6648
6642264,6647
6647264,6647
6652264,6647
6657264,6647
6662264,6648
6667272,6648
6672272,6648
6677272,6647
6682272,6647
6687272,6647
6692272,6648
6697272,6647
6702272,6648
6707272,6649
6712276,6649
6717276,6647
6722276,6648
6727276,6647
6732276,6648
6737276,6648
6742276,6647
6747276,6648
6752276,6647
6757280,6647
6762280,6647
6767284,6647
6772284,6647
6777288,6648
6782288,6647
6787288,6648
6792288,6648
6797288,6648
6802288,6648
6807288,6648
6812288,6649
6817288,6647
6822288,6647
6827288,6648
6832292,6648
6837292,6648
6842292,6648
6847292,6647
6852292,6648
6857292,6647
6862292,6647
6867292,6648
6872292,6648
6877292,6648
6882292,6647
6887292,6647
6892292,6648
6897292,6647
6902292,6648
6907292,6648
6912292,6648
6917292,6647
6922292,6647
6927292,6648
6932292,6648
6937292,6648
6942292,6646
6947292,6649
6952292,6648
6957292,6649
6962292,6648
6967296,6647
6972300,6648
6977300,6647
6982304,6648
6987304,6649
6992304,6648
6997304,6647
7002308,6647
7007308,6648
7012308,6648
7017308,6647
7022308,6647
7027308,6647
7032312,6648
7037312,6647
7042312,6647
7047312,6648
7052312,6647
7057312,6648
7062312,6647
7067312,6646
7072312,6648
7077312,6647
7082312,6648
7087316,6648
7092316,6648
7097316,6648
7102316,6647
7107316,6648
7112316,6648
7117316,6647
7122316,6648
7127316,6647
7132316,6649
7137316,6648
7142316,6648
7147316,6648
7152316,6648
7157316,6648
7162316,6647
7167316,6647
7172316,6647
7177316,6647
7182316,6647
7187316,6647
7192316,6648
7197316,6648
7202316,6647
7207316,6647
7212316,6648
7217316,6647
7222320,6647
7227320,6647
7232320,6647
7237320,6648
7242320,6648
7247320,6647
7252320,6647
7257320,6648
7262320,6647
7267320,6648
7272320,6648
7277324,6647
7282324,6647
7287328,6648
7292328,6647
7297328,6647
7302332,6647
7307332,6648
7312332,6648
7317332,6647
7322332,6647
7327332,6648
7332332,6647
7337332,6646
7342332,6647
7347332,6648
7352336,6648
7357336,6648
7362340,6648
7367340,6647
7372340,6648
7377340,6648
7382340,6648
7387340,6647
7392340,6647
7397340,6647
7402340,6647
7407340,6647
7412340,6647
7417340,6648
7422340,6647
7427340,6647
7432344,6647
7437348,6647
7442348,6647
7447348,6647
7452348,6648
7457348,6647
7462348,6647
7467348,6647
7472348,6648
7477348,6647
7482348,6646
7487352,6648
7492356,6648
7497356,6648
7502356,6647
7507356,6648
7512356,6647
7517356,6647
7522356,6647
7527356,6648
7532360,6648
7537360,6647
7542360,6646
7547360,6648
7552360,6648
7557360,6646
7562360,6647
7567360,6647
7572360,6647
7577364,6647
7582364,6647
7587364,6648
7592368,6648
7597368,6648
7602368,6647
7607372,6647
7612372,6647
7617372,6648
7622372,6647
7627372,6647
7632372,6647
7637372,6647
7642372,6648
7647372,6647
7652372,6647
7657372,6648
7662372,6648
7667372,6648
7672372,6647
7677372,6648
7682372,6647
7687372,6648
7692372,6648
7697376,6647
7702380,6647
7707384,6648
7712384,6648
7717384,6648
7722384,6647
7727388,6647
7732392,6648
7737396,6647
7742396,6647
7747396,6648
7752396,6647
7757396,6647
7762396,6647
7767396,6647
7772396,6647
7777396,6647
7782400,6648
7787400,6648
7792400,6647
7797400,6647
7802400,6647
7807400,6647
7812400,6647
7817400,6646
7822400,6647
7827400,6647
7832400,6648
7837400,6647
7842400,6647
7847400,6648
7852404,6647
7857404,6648
7862404,6646
7867408,6649
7872408,6648
7877408,6647
7882408,6646
7887412,6647
7892412,6648
7897412,6647
7902412,6648
7907412,6648
7912412,6648
7917412,6647
7922412,6647
7927412,6648
7932412,6648
7937412,6648
7942412,6647
7947416,6648
7952416,6647
7957416,6647
7962420,6647
7967420,6646
7972420,6647
7977420,6648
7982424,6647
7987424,6648
7992424,6647
7997424,6647
8002424,6647
8007424,6647
8012424,6647
8017424,6647
8022424,6647
8027424,6648
8032424,6647
8037424,6647
8042424,6647
8047424,6647
8052424,6648
8057424,6647
8062424,6647
8067424,6647
8072424,6647
8077424,6647
8082424,6647
8087424,6648
8092424,6647
8097428,6648
8102432,6646
8107432,6646
8112432,6647
8117432,6647
8122436,6647
8127436,6648
8132440,6648
8137440,6647
8142440,6647
8147440,6647
8152440,6647
8157440,6647
8162440,6647
8167440,6647
8172440,6648
8177440,6647
8182440,6647
8187440,6647
8192440,6648
8197440,6647
8202440,6647
8207440,6647
8212444,6647
8217444,6647
8222444,6646
8227444,6648
8232444,6648
8237444,6647
8242444,6647
8247444,6646
8252444,6646
8257444,6648
8262448,6647
8267452,6647
8272452,6647
8277452,6646
8282452,6646
8287452,6647
8292452,6648
8297456,6647
8302460,6647
8307464,6647
8312464,6648
8317464,6647
8322468,6648
8327472,6648
8332472,6647
8337472,6646
8342472,6646
8347472,6647
8352472,6647
8357472,6647
8362476,6647
8367476,6647
8372476,6647
8377476,6647
8382476,6647
8387476,6647
8392476,6647
8397476,6647
8402476,6647
8407480,6648
8412480,6647
8417480,6647
8422484,6647
8427484,6647
8432488,6647
8437492,6647
8442492,6647
8447496,6647
8452500,6647
8457500,6647
8462500,6647
8467504,6646
8472504,6647
8477504,6648
8482504,6646
8487504,6647
8492504,6647
8497504,6647
8502504,6648
8507504,6648
8512504,6646
8517504,6647
8522504,6647
8527508,6648
8532508,6648
8537508,6647
8542508,6646
8547508,6648
8552512,6648
8557512,6647
8562512,6647
8567512,6647
8572512,6647
8577516,6647
8582516,6647
8587516,6647
8592516,6648
8597520,6647
8602520,6647
8607520,6648
8612520,6646
8617520,6646
8622520,6647
8627520,6647
8632520,6647
8637520,6647
8642520,6647
8647520,6647
8652520,6647
8657520,6647
8662524,6647
8667528,6647
8672528,6646
8677528,6646
8682528,6646
8687528,6648
8692528,6647
8697528,6647
8702528,6647
8707532,6647
8712532,6647
8717532,6647
8722532,6647
8727532,6648
8732532,6647
8737532,6646
8742532,6647
8747532,6647
8752532,6647
8757532,6647
8762532,6646
8767532,6647
8772536,6647
8777536,6646
8782540,6647
8787540,6648
8792540,6647
8797540,6647
8802540,6646
8807540,6648
8812540,6647
8817544,6646
8822548,6646
8827548,6647
8832552,6647
8837552,6647
8842552,6647
8847556,6647
8852556,6646
8857556,6647
8862556,6647
8867556,6646
8872556,6647
8877556,6646
8882556,6646
8887556,6647
8892556,6647
8897556,6647
8902556,6647
8907556,6647
8912556,6647
8917556,6647
8922556,6646
8927556,6647
8932556,6646
8937556,6647
8942556,6646
8947556,6647
8952556,6648
8957556,6647
8962556,6646
8967556,6646
8972556,6648
8977560,6647
8982560,6647
8987560,6647
8992560,6647
8997560,6647
9002560,6646
9007560,6646
9012564,6647
9017564,6646
9022564,6647
9027564,6647
9032568,6647
9037568,6646
9042568,6647
9047568,6648
9052568,6647
9057568,6647
9062568,6646
9067568,6646
9072568,6647
9077568,6647
9082572,6647
9087572,6647
9092576,6647
9097576,6646
9102576,6646
9107576,6647
9112580,6647
9117580,6646
9122580,6646
9127580,6647
9132584,6647
9137584,6646
9142584,6646
9147588,6647
9152588,6647
9157588,6646
9162588,6646
9167588,6647
9172588,6646
9177588,6646
9182588,6647
9187588,6647
9192588,6647
9197588,6647
9202588,6646
9207592,6647
9212592,6647
9217592,6646
9222592,6647
9227592,6647
9232596,6646
9237600,6646
9242600,6647
9247600,6647
9252600,6647
9257600,6647
9262604,6645
9267604,6647
9272604,6646
9277604,6646
9282608,6646
9287608,6646
9292608,6646
9297608,6646
9302608,6647
9307608,6647
9312608,6647
9317608,6646
9322608,6646
9327608,6647
9332612,6646
9337612,6647
9342612,6646
9347612,6647
9352612,6647
9357612,6646
9362616,6646
9367616,6646
9372616,6646
9377616,6646
9382616,6646
9387616,6647
9392616,6647
9397620,6647
9402620,6647
9407620,6646
9412620,6647
9417620,6646
9422620,6647
9427620,6647
9432620,6646
9437620,6647
9442620,6646
9447620,6647
9452620,6647
9457620,6646
9462620,6646
9467620,6647
9472620,6647
9477624,6646
9482628,6647
9487628,6647
9492628,6646
9497628,6647
9502628,6646
9507628,6646
9512628,6647
9517628,6646
9522628,6647
9527628,6646
9532628,6646
9537628,6647
9542628,6646
9547632,6647
9552632,6647
9557632,6646
9562632,6645
9567632,6646
9572632,6646
9577632,6646
9582632,6647
9587632,6646
9592632,6646
9597632,6646
9602632,6646
9607632,6646
9612632,6647
9617632,6645
9622636,6646
9627636,6647
9632636,6646
9637636,6646
9642636,6646
9647636,6646
9652636,6646
9657636,6646
9662636,6646
9667640,6647
9672640,6646
9677640,6646
9682640,6646
9687644,6647
9692648,6646
9697648,6646
9702648,6646
9707652,6647
9712652,6646
9717652,6646
9722652,6645
9727652,6647
9732652,6646
9737652,6646
9742652,6647
9747652,6646
9752652,6647
9757652,6646
9762652,6646
9767652,6647
9772652,6647
9777652,6646
9782656,6646
9787656,6646
9792656,6647
9797656,6647
9802656,6646
9807656,6646
9812656,6646
9817656,6646
9822656,6646
9827656,6647
9832656,6646
9837656,6646
9842656,6646
9847660,6646
9852660,6647
9857664,6647
9862664,6647
9867664,6647
9872664,6646
9877664,6646
9882664,6646
9887664,6646
9892668,6646
9897668,6645
9902668,6646
9907668,6647
9912672,6646
9917672,6647
9922672,6646
9927672,6646
9932672,6647
9937672,6646
9942672,6646
9947676,6646
9952676,6646
9957676,6646
9962676,6646
9967680,6646
9972680,6646
9977680,6646
9982680,6646
9987680,6646
9992680,6646
9997680,6646
10002684,6646
10007684,6646
10012684,6647
10017684,6646
10022684,6646
10027684,6647
10032684,6646
10037684,6647
10042684,6646
10047684,6646
10052684,6647
10057684,6645
10062684,6646
10067684,6647
10072684,6647
10077684,6646
10082688,6645
10087688,6646
10092688,6646
10097688,6645
10102688,6645
10107688,6646
10112688,6647
10117688,6646
10122688,6646
10127688,6647
